"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family","Genus"
"3011","KO1",0.0361097737120847,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1376","KO2",0.035976200359762,"KO","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Other"
"3355","KO2",0.035976200359762,"KO","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Other"
"2161","KO5",0.0359435173299101,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Other"
"2286","KO5",0.0359435173299101,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Other"
"2559","KO3",0.0359425945418603,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Other"
"2341","WT3",0.0355453476608427,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"3360","WT4",0.0352131751449158,"WT","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Other"
"632","WT4",0.0352131751449158,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Other"
"2424","KO6",0.0351864883884588,"KO","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Other"
"3348","KO6",0.0351864883884588,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Other"
"3363","KO6",0.0351864883884588,"KO","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Other"
"2077","WT6",0.0349499946230778,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Other"
"205","WT1",0.0347602877082275,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Other"
"1262","WT1",0.0347602877082275,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"3335","WT1",0.0347602877082275,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Other"
"274","WT5",0.0346814640913456,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"1463","WT5",0.0346814640913456,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Other"
"1110","OE3",0.0346500346500346,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Other"
"1872","OE6",0.0343224437579956,"OE","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Other"
"3380","OE6",0.0343224437579956,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"201","KO4",0.0341153624101191,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Other"
"789","KO4",0.0341153624101191,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Other"
"932","KO4",0.0341153624101191,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
"2048","KO4",0.0341153624101191,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Other"
"3103","KO4",0.0341153624101191,"KO","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Other"
"1270","KO4",0.0341153624101191,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"3775","OE1",0.0339118907420538,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"469","OE1",0.0339118907420538,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Other"
"1271","OE1",0.0339118907420538,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"2275","OE1",0.0339118907420538,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Other"
"1263","WT2",0.0338656315940292,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"2317","WT2",0.0338656315940292,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Other"
"3166","WT2",0.0338656315940292,"WT","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Other"
"1265","OE4",0.0333920223422986,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"2197","KO5",0.0333761232349166,"KO","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Other"
"3536","KO5",0.0333761232349166,"KO","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Other"
"3340","KO5",0.0333761232349166,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Other"
