"","taxon.name"
"1126","ASV_1939"
"1127","ASV_1480"
"1128","ASV_2881"
"1129","ASV_1155"
"1130","ASV_2446"
"1131","ASV_2820"
"1132","ASV_421"
"1133","ASV_2469"
"1134","ASV_2232"
"1135","ASV_2400"
"1136","ASV_361"
"1137","ASV_803"
"1138","ASV_2265"
"1139","ASV_1593"
"1140","ASV_2712"
"1141","ASV_2718"
"1142","ASV_948"
"1143","ASV_2745"
"1144","ASV_1225"
"1145","ASV_1318"
"1146","ASV_270"
"1147","ASV_2639"
"1148","ASV_281"
"1149","ASV_1270"
"1150","ASV_861"
"1151","ASV_282"
"1152","ASV_1375"
"1153","ASV_2606"
"1154","ASV_1941"
"1155","ASV_2752"
"1156","ASV_285"
"1157","ASV_1218"
"1158","ASV_436"
"1159","ASV_951"
"1160","ASV_1713"
"1161","ASV_2433"
"1162","ASV_290"
"1163","ASV_1164"
"1164","ASV_1443"
"1165","ASV_294"
"1166","ASV_993"
"1167","ASV_1972"
"1168","ASV_1754"
"1169","ASV_2572"
"1170","ASV_1467"
"1171","ASV_295"
"1172","ASV_384"
"1173","ASV_1224"
"1174","ASV_1960"
"1175","ASV_1680"
"1176","ASV_301"
"1177","ASV_638"
"1178","ASV_2694"
"1179","ASV_1522"
"1180","ASV_2116"
"1181","ASV_1650"
"1182","ASV_1913"
"1183","ASV_2336"
"1184","ASV_2586"
"1185","ASV_1289"
"1186","ASV_1331"
"1187","ASV_1344"
"1188","ASV_1822"
"1189","ASV_1305"
"1190","ASV_305"
"1191","ASV_1512"
"1192","ASV_306"
"1193","ASV_550"
"1194","ASV_1326"
"1195","ASV_2056"
"1196","ASV_308"
"1197","ASV_374"
"1198","ASV_2554"
"1199","ASV_2270"
"1200","ASV_1373"
"1201","ASV_311"
"1202","ASV_1213"
"1203","ASV_2073"
"1204","ASV_313"
"1205","ASV_314"
"1206","ASV_316"
"1207","ASV_1789"
"1208","ASV_1596"
"1209","ASV_919"
"1210","ASV_320"
"1211","ASV_466"
"1212","ASV_553"
"1213","ASV_1600"
"1214","ASV_928"
"1215","ASV_2049"
"1216","ASV_321"
"1217","ASV_1622"
"1218","ASV_1883"
"1219","ASV_1090"
"1220","ASV_331"
"1221","ASV_1814"
"1222","ASV_335"
"1223","ASV_1852"
"1224","ASV_2218"
"1225","ASV_1206"
"1226","ASV_430"
"1227","ASV_432"
"1228","ASV_1871"
"1229","ASV_1181"
"1230","ASV_1563"
"1231","ASV_1722"
"1232","ASV_892"
"1233","ASV_1053"
"1234","ASV_2225"
"1235","ASV_1486"
"1236","ASV_2093"
"1237","ASV_876"
"1238","ASV_2333"
"1239","ASV_336"
"1240","ASV_418"
"1241","ASV_2680"
"1242","ASV_338"
"1243","ASV_1723"
"1244","ASV_886"
"1245","ASV_1071"
"1246","ASV_340"
"1247","ASV_2091"
"1248","ASV_718"
"1249","ASV_1311"
"1250","ASV_2019"
"1251","ASV_2229"
"1252","ASV_659"
"1253","ASV_1368"
"1254","ASV_1125"
"1255","ASV_2807"
"1256","ASV_341"
"1257","ASV_1481"
"1258","ASV_342"
"1259","ASV_2008"
"1260","ASV_1222"
"1261","ASV_2753"
"1262","ASV_1658"
"1263","ASV_2838"
"1264","ASV_947"
"1265","ASV_2199"
"1266","ASV_1796"
"1267","ASV_344"
"1268","ASV_353"
"1269","ASV_2273"
"1270","ASV_1252"
"1271","ASV_349"
"1272","ASV_1922"
"1273","ASV_1737"
"1274","ASV_1297"
"1275","ASV_351"
"1276","ASV_1347"
"1277","ASV_1265"
"1278","ASV_1366"
"1279","ASV_352"
"1280","ASV_495"
"1281","ASV_688"
"1282","ASV_492"
"1283","ASV_808"
"1284","ASV_813"
"1285","ASV_367"
"1286","ASV_1501"
"1287","ASV_422"
"1288","ASV_640"
"1289","ASV_788"
"1290","ASV_2444"
"1291","ASV_1067"
"1292","ASV_379"
"1293","ASV_906"
"1294","ASV_1227"
"1295","ASV_1351"
"1296","ASV_381"
"1297","ASV_760"
"1298","ASV_1940"
