"","id","Abundance","Group","Kingdom","Phylum","Class"
"213","KO4",0,"KO","Bacteria","Armatimonadetes","Other"
"235","OE3",0,"OE","Bacteria","Bacteroidetes","Other"
"236","OE5",0,"OE","Bacteria","Bacteroidetes","Other"
"237","OE2",0,"OE","Bacteria","Bacteroidetes","Other"
"238","OE4",0,"OE","Bacteria","Bacteroidetes","Other"
"240","KO2",0,"KO","Bacteria","Bacteroidetes","Other"
"241","KO6",0,"KO","Bacteria","Bacteroidetes","Other"
"242","WT5",0,"WT","Bacteria","Bacteroidetes","Other"
"243","KO1",0,"KO","Bacteria","Bacteroidetes","Other"
"244","KO3",0,"KO","Bacteria","Bacteroidetes","Other"
"245","WT1",0,"WT","Bacteria","Bacteroidetes","Other"
"246","OE1",0,"OE","Bacteria","Bacteroidetes","Other"
"247","KO5",0,"KO","Bacteria","Bacteroidetes","Other"
"248","KO4",0,"KO","Bacteria","Bacteroidetes","Other"
"249","WT2",0,"WT","Bacteria","Bacteroidetes","Other"
"250","OE6",0,"OE","Bacteria","Bacteroidetes","Other"
"251","WT6",0,"WT","Bacteria","Bacteroidetes","Other"
"252","WT4",0,"WT","Bacteria","Bacteroidetes","Other"
"276","KO5",0,"KO","Bacteria","Chloroflexi","Other"
"284","KO4",0,"KO","Bacteria","Chloroflexi","Other"
"449","KO5",0,"KO","Bacteria","Ignavibacteriae","Other"
"471","KO4",0,"KO","Bacteria","Proteobacteria","Other"
"472","KO3",0,"KO","Bacteria","Proteobacteria","Other"
"474","WT6",0,"WT","Bacteria","Proteobacteria","Other"
"481","KO5",0,"KO","Bacteria","Proteobacteria","Other"
"483","KO6",0,"KO","Bacteria","Proteobacteria","Other"
"485","OE4",0,"OE","Bacteria","Proteobacteria","Other"
