"","id","Abundance","Group","Kingdom","Phylum","Class","Order"
"687","OE3",0.675675675675676,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"262","KO2",0.66417600664176,"KO","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"114","WT2",0.659077291791492,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Other"
"357","OE6",0.658366875721551,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"715","WT4",0.652798093071131,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"349","KO2",0.642036806420368,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"648","WT1",0.63370678360384,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"371","OE6",0.630284876283191,"OE","Bacteria","Chloroflexi","Chloroflexia","Other"
"689","WT1",0.625685178748095,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"241","KO2",0.603293206032932,"KO","Bacteria","Firmicutes","Clostridia","Other"
"12","OE6",0.595962432525196,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"15","OE1",0.585750840090021,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"347","OE5",0.585321927059883,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"86","WT5",0.581581474762565,"WT","Bacteria","Firmicutes","Bacilli","Bacillales"
"543","OE6",0.577241099566289,"OE","Bacteria","Planctomycetes","Planctomycetia","Other"
"350","WT1",0.569533944757881,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"644","KO3",0.564812199943519,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"701","KO3",0.554542887217273,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"404","WT3",0.549585759986876,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Other"
"374","OE4",0.549450549450549,"OE","Bacteria","Chloroflexi","Chloroflexia","Other"
"369","KO5",0.549422336328626,"KO","Bacteria","Chloroflexi","Chloroflexia","Other"
"353","WT3",0.544117244962131,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"345","KO4",0.543221539914974,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"647","WT2",0.531429911167843,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"204","WT1",0.529425920479157,"WT","Bacteria","Chloroflexi","Chloroflexia","Other"
"215","KO2",0.51196900511969,"KO","Bacteria","Chloroflexi","Chloroflexia","Other"
"16","OE2",0.509220200072315,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"637","KO4",0.495984884270194,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"360","KO6",0.495317490391382,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
