Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Geodermatophilus	0.0279095729835334	0.0347192084020484	0	0	0.00757059580588992	0.0335457900033546	0.0464166357222428	0.0666222518321119	0.0365196749748927	0.00909338910611985	0.0265839610101905	0.0575539568345324	0.00860141063134354	0.0168506192602578	0.0447787927637471	0.0606113083383843	0.0417780748663102	0.0257599175682638
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Glycomyces	0.0744255279560889	0.16491623990973	0.0697242020452433	0.0320051208193311	0.0378529790294496	0.0670915800067092	0.0185666542888971	0.0285523936423337	0.0821692686935086	0.0272801673183596	0.0177226406734603	0.0383693045563549	0.0774126956820919	0.0421265481506445	0.0268672756582483	0.0606113083383843	0.0668449197860962	0.034346556757685
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae|Thalassiella	0.0465159549725556	0.0173596042010242	0.0232414006817478	0.0240038406144983	0	0.0251593425025159	0.0464166357222429	0.0475873227372228	0.00912991874372318	0.0181867782122397	0	0.0287769784172662	0.0172028212626871	0.00842530963012891	0.0447787927637471	0.0086587583340549	0.0334224598930481	0.0257599175682638
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Cellulomonas	0.0651223369615778	0.00867980210051211	0	0.0240038406144983	0	0.0419322375041932	0.12996658002228	0.0380698581897782	0.0456495937186159	0.0363735564244794	0.0620292423571112	0.0287769784172662	0.00860141063134354	0.0168506192602578	0.0806018269747448	0.0173175166681098	0.0501336898395722	0.111626309462476
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermacoccaceae|Yimella	0.0465159549725556	0.112837427306657	0.0232414006817478	0.0480076812289966	0.0454235748353395	0.00838644750083864	0.0835499443000371	0.00951746454744456	0.0456495937186159	0.0454669455305993	0.053167922020381	0.0767386091127098	0.0430070531567177	0.0505518577807734	0.0179115171054988	0.0346350333362196	0.0417780748663102	0.0257599175682638
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Intrasporangium	0.0186063819890222	0.078118218904609	0.0542299349240781	0.0160025604096655	0.0151411916117798	0.0167728950016773	0	0.0190349290948891	0.0182598374874464	0.00909338910611985	0	0.0287769784172662	0.00860141063134354	0.0168506192602578	0.0179115171054988	0.0432937916702745	0	0.00858663918942126
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Oryzihumus	0.362824448785934	0.876660012151723	0.348621010226216	0.736117778844615	0.128700128700129	0.251593425025159	0.761232825844783	0.571047872846674	0.57518488085456	0.763844684914067	0.629153743907842	0.489208633093525	1.17839325649407	1.1374168000674	0.895575855274942	0.81392328340116	0.910762032085562	0.583891464880646
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces	0.651223369615778	1.24989150247374	0.782460489618841	0.840134421507441	0.507229918994625	0.536732640053673	0.816932788711474	1.07547349386124	0.757783255729024	0.836591797763026	0.859548072662827	0.824940047961631	0.722518493032857	0.589771674109023	0.976177682249687	0.84855831673738	0.676804812834225	0.978876867594024
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Cryobacterium	0.00930319099451112	0	0	0	0	0.0251593425025159	0.0464166357222429	0.0475873227372228	0.0639094312060623	0.00909338910611985	0.177226406734603	0	0.0172028212626871	0	0.0179115171054988	0.0259762750021647	0.0167112299465241	0.00858663918942126
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Curtobacterium	0.204670201879245	0.269073865115875	0.263402541059808	0.192030724915987	0.0832765538647892	0.176115397517612	0.157816561455626	0.218901684591225	0.328677074774035	0.209147949440757	0.212671688081524	0.143884892086331	0.421469120935833	0.261184598533996	0.295540032240731	0.216468958351372	0.501336898395722	0.480851794607591
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium	0.241882965857289	0.0260394063015363	0.0309885342423303	0.0800128020483277	0.0302823832235597	0.0503186850050319	0.111399925733383	0.0190349290948891	0.0273897562311695	0.0818405019550787	0.0620292423571112	0.172661870503597	0.0344056425253742	0.0337012385205156	0.0806018269747448	0.0692700666724392	0.0835561497326203	0.0944530310836339
