"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Aquabacterium|s__Unassigned",0.00151569186875892,0.000405120725976341,0.000450011250281257,0.000919822167714242,0.00225881667152434,0.00072277545775779,0.00167897918065816,0.00137256584026765,0.00126732004055424,0.00181190681622088,0.00183838222364319,0.00113686051595977,0.000690766751093714,0.00075551526140828,0.0018018018018018,0.00245001185489607,0.0011377427184466,0.000804764204088202
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Cellvibrionaceae|g__Cellvibrio|s__Unassigned",0.00115905848787447,0.000243072435585805,0.000525013125328133,0.000459911083857121,0.000364325269600699,0.00024092515258593,0.0010073875083949,0.00257356095050184,0.00582967218654951,0.00362381363244176,0.000399648309487651,0.00034980323567993,0.00260956328190959,0.00075551526140828,0.000655200655200655,0.000395163202402592,0.000303398058252427,0.000804764204088202
"k__Bacteria|p__Bacteroidetes|c__Unassigned|o__Unassigned|f__Unassigned|g__Unassigned|s__Unassigned",0.00169400855920114,0.000648193161562146,0.000375009375234381,0.000996474015023762,0.000801515593121539,0.00056215868936717,0.000923438549361988,0.00128678047525092,0.00202771206488679,0.00112165660051769,0.000879226280872832,0.00104940970703979,0.000997774196024254,0.00120882441825325,0.00139230139230139,0.00197581601201296,0.0010618932038835,0.0016095284081764
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Microvirga|s__Unassigned",0.0014265335235378,0.0017825311942959,0.000150003750093752,0.000919822167714242,0.00116584086272224,0.0008030838419531,0.00184687709872398,0.00120099511023419,0.00109834403514701,0.00120793787748059,0.00103908560466789,0.00262352426759948,0.000614014889861079,0.000906618313689937,0.000573300573300573,0.00110645696672726,0.000682645631067961,0.0012071463061323
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexineae|g__Chloroflexaceae|s__Unassigned",0.00115905848787447,0.000810241451952682,0.000900022500562514,0.000843170320404722,0.00116584086272224,0.00040154192097655,0.000671591672263264,0.00145835120528438,0.00109834403514701,0.00120793787748059,0.00103908560466789,0.0014866637516397,0.00268631514314222,0.00128437594439408,0.00114660114660115,0.00165968545009089,0.000455097087378641,0.000804764204088202
"k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas|s__Unassigned",0.00133737517831669,0.000972289742343218,0.000900022500562514,0.000689866625785681,0.000655785485281259,0.00064246707356248,0.00285426460711887,0.000857853650167281,0.000760392024332545,0.00138050043140638,0.00127887459036048,0.00218627022299956,0.000844270473558984,0.000982169839830765,0.000737100737100737,0.000869359045285703,0.000834344660194175,0.00104619346531466
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Blastococcus|s__Unassigned",0.000445791726105563,0.0020256036298817,0.000900022500562514,0.000689866625785681,0.00021859516176042,0.00072277545775779,0.00117528542646071,0.00188727803036802,0.000760392024332545,0.000776531492666091,0.000719366957077772,0.00279842588543944,0.000537263028628444,0.000226654578422484,0.000819000819000819,0.00110645696672726,0.00128944174757282,0.000482858522452921
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa|s__Unassigned",0.00115905848787447,0.00129638632312429,0.000750018750468762,0.000919822167714242,0.000510055377440979,0.00096370061034372,0.00134318334452653,0.00145835120528438,0.00109834403514701,0.00094909404659189,0.00119894492846295,0.000961958898119808,0.000690766751093714,0.000679963735267452,0.000573300573300573,0.00102742432624674,0.000758495145631068,0.00112666988572348
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Unassigned|s__Unassigned",0.000802425106990014,0.000648193161562146,0.000375009375234381,0.000383259236547601,0.00014573010784028,0.0008030838419531,0.000587642713230356,0.00205884876040148,0.000929368029739777,0.00103537532355479,0.00143873391415554,0.00183646698731963,0.000921022334791619,0.000679963735267452,0.000737100737100737,0.00173871809057141,0.000758495145631068,0.00144857556735876
"k__Bacteria|p__Chloroflexi|c__Unassigned|o__Unassigned|f__Unassigned|g__Unassigned|s__Unassigned",0.000178316690442225,0.00121536217792902,0.000150003750093752,0.00022995554192856,0.000582920431361119,0.00024092515258593,0.00151108126259234,0.00317405850561894,0.00126732004055424,0.000862812769628991,0.000959155942770362,0.00113686051595977,0.00145828536342006,0.000831066787549108,0.000982800982800983,0.000869359045285703,0.000910194174757282,0.000643811363270562
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Novimethylophilus|s__Unassigned",0.00106990014265335,0.000648193161562146,0.00105002625065627,0.000843170320404722,0.00167589624016322,0.00104400899453903,0.000503693754197448,0.000686282920133825,0.00101385603244339,0.000603968938740293,0.00119894492846295,0.000524704853519895,0.00107452605725689,0.00166213357509822,0.000900900900900901,0.000790326404805185,0.000834344660194175,0.000965717044905843
