"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_228",-30.0444792055438,18.2654398056137,"bac_ASV_228","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","Unassigned","bac",11,0.0491528968834972,46.3405801802482,11
"bac_ASV_229",12.164370622781,-1.88231554943855,"bac_ASV_229","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",20,0.0497986861623225,863.088243463041,20
"bac_ASV_23",-0.59812348431721,-22.2886038154547,"bac_ASV_23","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac",14,0.0495362563237774,1170.97044796487,14
"bac_ASV_230",14.8176842233751,-21.4841921948106,"bac_ASV_230","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac",6,0.0464060031595577,1104.87947911487,6
"bac_ASV_232",18.1826974121183,2.07773478179191,"bac_ASV_232","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",15,0.0494424573953293,446.848442119628,15
"bac_ASV_235",-14.9193670655617,7.52350797925424,"bac_ASV_235","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",21,0.0498938428874735,2634.58465200582,21
"bac_ASV_239",10.3103763511083,32.7163639307069,"bac_ASV_239","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",0,0,0,0
"bac_ASV_24",9.11431351948437,-17.1202628306649,"bac_ASV_24","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",5,0.0447193149381541,2379.36114377168,5
"bac_ASV_242",-25.708933762939,9.22315824870708,"bac_ASV_242","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","Dokdonella_fugitiva","bac",13,0.0493075954678976,164.851782376775,13
"bac_ASV_244",-6.74007083931547,11.4196488534002,"bac_ASV_244","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",18,0.0493593782818736,309.360532342025,18
"bac_ASV_245",27.2991108558045,10.6169531044995,"bac_ASV_245","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","bac",1,0.00212765957446809,0,1
"bac_ASV_247",10.9391816815073,29.557448658564,"bac_ASV_247","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",3,0.0461689587426326,26.0529447515075,3
"bac_ASV_248",0.00733678195816623,29.9409493030899,"bac_ASV_248","bac","Bacteria","Acidobacteria","Acidobacteria_Gp15","Unassigned","Unassigned","Gp15","Unassigned","bac",0,0,0,0
