#OTUID	SY01_1	SY01_2	SY01_3	SY02_1	SY02_2	SY02_3	SY03_1	SY03_2	SY03_3	SY04_1	SY04_2	SY04_3	SY05_1	SY05_2	SY05_3	SY06_1	SY06_2	SY06_3	SY07_1	SY07_2	SY07_3	SY08_1	SY08_2	SY08_3	SY09_1	SY09_2	SY09_3	SY10_1	SY10_2	SY10_3	SY11_1	SY11_2	SY11_3	SY12_2	SY12_3
OTU_10569	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	21	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_6436	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	4	0	0	8	7	12	2	1	4	6	2	4	0	0	0	0	0	0	0	0
OTU_10347	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	5	0	0	1	0	1	0	4	7	0	5	8	0	0	0	0	0
OTU_3565	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	15	0	1	5	1	5	1	0	3	21	6	17	0	1	6	0	0	0	1	0
OTU_8207	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	8	6	0	4	9	0	6	2	3	0	1	0	0	0	0	0	0
OTU_7868	0	0	0	0	0	0	0	0	0	0	0	0	4	2	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2060	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	3	5	1	0	0	11	4	4	58	171	30	1	0	0	0	0
OTU_6579	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	43	1	0	21	1	1	27	0	0	1	0	0	0
OTU_5119	0	0	0	0	0	0	0	0	0	0	0	0	4	14	23	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_10605	0	0	0	0	0	0	0	0	0	0	0	0	3	12	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6795	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	2	5	5	3	0	9	2	0	0	0	0	0	0	0	0	0	0
OTU_5204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	3	65	8	0	0	0	0	0
