"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"ASV_28040",0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10548",6,0,1,0,16,0,0,0,1,5,1,0,2,4,9,0,0,0
"ASV_29838",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19709",0,0,0,0,4,0,0,5,0,1,0,5,0,0,1,0,0,0
"ASV_31066",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_16406",0,0,1,2,4,2,1,0,1,9,5,0,0,5,15,0,0,6
"ASV_31976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10937",12,0,2,1,3,1,1,2,2,5,3,1,0,2,0,0,0,0
"ASV_5990",4,0,1,0,3,7,3,5,3,3,9,2,6,11,2,0,5,5
"ASV_4718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19698",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27597",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_20274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_33424",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV_30060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ASV_22751",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV_28255",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0
"ASV_17459",1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,2,0,0
"ASV_30843",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30303",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV_15554",2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_32229",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"ASV_34980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_36246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13359",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_24844",0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
